"","adv_auto_lvl","adv_hum_lvl","par","adviser","trust"
"1",2,1,"1","hum",3.16666666666667
"2",2,2,"2","hum",5
"3",1,1,"3","hum",4
"4",1,1,"4","hum",4
"5",1,2,"5","hum",5
"6",2,1,"6","hum",5
"7",2,2,"7","hum",3
"8",1,2,"8","hum",4.66666666666667
"9",2,2,"9","hum",4
"10",2,1,"10","hum",3
"11",2,1,"11","hum",4
"12",1,1,"12","hum",4.16666666666667
"13",2,2,"13","hum",4.83333333333333
"14",2,1,"14","hum",4.33333333333333
"15",1,1,"15","hum",3.83333333333333
"16",1,1,"16","hum",4.66666666666667
"17",2,2,"17","hum",4.33333333333333
"18",1,2,"18","hum",5
"19",1,2,"19","hum",4.66666666666667
"20",1,2,"20","hum",3.83333333333333
"21",1,2,"21","hum",4.33333333333333
"22",1,1,"22","hum",2
"23",1,2,"23","hum",5
"24",2,2,"24","hum",5
"25",2,1,"25","hum",5
"26",2,2,"26","hum",3.66666666666667
"27",2,2,"27","hum",4.83333333333333
"28",1,1,"28","hum",3.5
"29",1,2,"29","hum",4
"30",2,2,"30","hum",4.33333333333333
"31",1,1,"31","hum",4.66666666666667
"32",2,1,"32","hum",2.16666666666667
"33",2,1,"33","hum",3
"34",1,2,"34","hum",5
"35",2,2,"35","hum",5
"36",2,1,"36","hum",3.5
"37",1,1,"37","hum",1
"38",1,1,"38","hum",4.5
"39",1,1,"39","hum",3.83333333333333
"40",1,2,"40","hum",3.66666666666667
"41",2,1,"41","hum",4.16666666666667
"42",2,1,"42","hum",3
"43",1,2,"43","hum",4.83333333333333
"44",2,2,"44","hum",4.33333333333333
"45",2,2,"45","hum",4.5
"46",1,1,"46","hum",4.33333333333333
"47",2,1,"47","hum",2.66666666666667
"48",2,1,"48","hum",2
"49",1,1,"49","hum",2.66666666666667
"50",2,2,"50","hum",2.83333333333333
"51",1,1,"51","hum",2.66666666666667
"52",2,2,"52","hum",5
"53",1,1,"53","hum",2.66666666666667
"54",1,2,"54","hum",5
"55",1,2,"55","hum",5
"56",1,2,"56","hum",4.33333333333333
"57",2,2,"57","hum",4.5
"58",2,1,"58","hum",3.5
"59",1,2,"59","hum",3
"60",1,1,"60","hum",4
"61",1,2,"61","hum",4.5
"62",2,2,"62","hum",3.83333333333333
"63",2,2,"63","hum",3.16666666666667
"64",1,1,"64","hum",3.66666666666667
"65",1,1,"65","hum",3.16666666666667
"66",2,1,"66","hum",4.16666666666667
"67",2,1,"67","hum",3.16666666666667
"68",2,1,"68","hum",2.33333333333333
"69",2,1,"69","hum",4.16666666666667
"70",1,1,"70","hum",1
"71",2,1,"71","hum",4
"72",1,2,"72","hum",4
"73",2,2,"73","hum",3
"74",1,1,"74","hum",4
"75",2,2,"75","hum",2.66666666666667
